Portal,Date,Time,Download Status,Customer PO Number,Directory path,SAP Order number,Order confirm Date,Processing Status,Comments,null
Krones,25092020,1747,Success,4508489090,Krones_25092020_1747_4508489090.xlsx,kjio,20092020,Pending,NA,['']
Krones,25092020,1747,Success,4508489565,Krones_25092020_1747_4508489565.xlsx,,,Pending,NA,['']
Krones,25092020,1747,Success,4508489576,Krones_25092020_1747_4508489576.xlsx,,,Pending,NA,['']
Krones,25092020,1747,Success,4508494672,Krones_25092020_1747_4508494672.xlsx,,,Pending,NA,['']
Krones,25092020,1747,Success,4508499814,Krones_25092020_1747_4508499814.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508489090,Krones_25092020_1747_4508489090.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508489565,Krones_25092020_1747_4508489565.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508489576,Krones_25092020_1747_4508489576.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508494672,Krones_25092020_1747_4508494672.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508499814,Krones_25092020_1747_4508499814.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508489090,Krones_25092020_1757_4508489090.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508489565,Krones_25092020_1757_4508489565.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508489576,Krones_25092020_1757_4508489576.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508494672,Krones_25092020_1757_4508494672.xlsx,,,Pending,NA,['']
Krones,25092020,1757,Success,4508499814,Krones_25092020_1757_4508499814.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489090,Krones_25092020_1747_4508489090.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489565,Krones_25092020_1747_4508489565.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489576,Krones_25092020_1747_4508489576.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508494672,Krones_25092020_1747_4508494672.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508499814,Krones_25092020_1747_4508499814.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489090,Krones_25092020_1757_4508489090.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489565,Krones_25092020_1757_4508489565.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489576,Krones_25092020_1757_4508489576.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508494672,Krones_25092020_1757_4508494672.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508499814,Krones_25092020_1757_4508499814.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489090,Krones_25092020_1808_4508489090.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489565,Krones_25092020_1808_4508489565.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508489576,Krones_25092020_1808_4508489576.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508494672,Krones_25092020_1808_4508494672.xlsx,,,Pending,NA,['']
Krones,25092020,1808,Success,4508499814,Krones_25092020_1808_4508499814.xlsx,,,Pending,NA,['']
Krones,25092020,1819,Success,4508489090,Krones_25092020_1747_4508489090.xlsx,,,Pending,NA,['']
Krones,25092020,1819,Success,4508489565,Krones_25092020_1747_4508489565.xlsx,,,Pending,NA,['']
Krones,25092020,1819,Success,4508489576,Krones_25092020_1747_4508489576.xlsx,,,Pending,NA,['']
Krones,25092020,1819,Success,4508494672,Krones_25092020_1747_4508494672.xlsx,,,Pending,NA,['']
Krones,25092020,1819,Success,4508499814,Krones_25092020_1747_4508499814.xlsx,,,Pending,NA,['']
Krones,25092020,1819,Success,4508489090,Krones_25092020_1757_4508489090.xlsx,,,Pending,NA,['']
